update_time;num_secu;nom;prenom;email;tel;date_naissance;lieu_naissance;DMP;taille;poid
2020-07-29T08:08:34,853Z;123345482;duran;fabien;fduran25@gmail.com;661482599;30/07/1988;75012;non;182;75
2020-07-29T08:08:34,853Z;223345481;fina;martine;mduran@gmail.com;661482526;31/07/1980;75012;non;170;80
2020-07-29T08:08:34,853Z;123345483;thee;max;mt@gmail.com;661482527;01/08/2012;75013;non;80;35
2020-04-29T08:08:34,853Z;123345482;duran;fabien;fduran@gmail.com;661482528;30/07/1988;75011;non;182;84
2020-04-29T08:08:34,853Z;223345481;fina;martine;mduran@gmail.com;661482529;31/07/1980;75012;non;170;80
2020-04-29T08:08:34,853Z;123345483;thee;max;mt@gmail.com;661482530;01/08/2012;75013;non;80;35
2020-03-29T08:08:34,853Z;123345482;duran;fabien;fduran@gmail.com;661482531;30/07/1988;75011;non;182;88
2020-03-29T08:08:34,853Z;223345481;fina;martine;mduran@gmail.com;661482532;31/07/1980;75012;non;170;80
2020-03-29T08:08:34,853Z;123345483;thee;max;mt@gmail.com;661482533;01/08/2012;75013;non;80;35
2019-07-29T08:08:34,853Z;123345482;duran;fabien;fduran@gmail.com;661482534;30/07/1988;75011;non;182;90
2019-07-29T08:08:34,853Z;223345481;fina;martine;mduran@gmail.com;661482535;31/07/1980;75012;non;170;80
2019-07-29T08:08:34,853Z;123345483;thee;max;mt@gmail.com;661482536;01/08/2012;75013;non;80;35
2019-04-29T08:08:34,853Z;123345482;duran;fabien;fduran@gmail.com;661482537;30/07/1988;75011;non;182;90
2019-04-29T08:08:34,853Z;223345481;fina;martine;mduran@gmail.com;661482538;31/07/1980;75012;non;170;80
2019-04-29T08:08:34,853Z;123345483;thee;max;mt@gmail.com;661482539;01/08/2012;75013;non;80;35
